"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"ABACE SUSHI","MANHATTAN","9TH AVE",10036,"Japanese","12/01/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","12/01/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9534393,40.7885402
"NOUS ESPRESSO BAR","MANHATTAN","AMSTERDAM AVE",10027,"CafÃ©/Coffee/Tea","05/13/2015","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",13,"A","05/13/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9484849,40.7817762
"VOSGES HAUT-CHOCOLAT","MANHATTAN","SPRING STREET",10012,"Ice Cream, Gelato, Yogurt, Ices","10/23/2014","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A","10/23/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9849872,40.7237135
"ANTHI'S GREEK FOOD","MANHATTAN","AMSTERDAM AVENUE",10024,"Greek","05/18/2016","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",16,"B","05/18/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9966203,40.7139364
"CHIPOTLE MEXICAN GRILL","MANHATTAN","8 AVENUE",10011,"Tex-Mex","12/09/2013","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","12/09/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.9806836,40.7651937
"SLAKE","MANHATTAN","W 30TH ST",10001,"American","01/19/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,"B","01/19/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9835662,40.7677767
"BETTOLONA","MANHATTAN","BROADWAY",10027,"Italian","03/13/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A","03/13/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.98653,40.730587
"LINCOLN CENTER THEATER (Claire Tow Theater)","MANHATTAN","W 65TH ST",10023,"American","06/03/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","06/03/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.003748,40.729221
"WATER FRONT ALE HOUSE","MANHATTAN","2 AVENUE",10016,"American","05/16/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,"A","05/16/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9742769,40.7533223
"TISANE PHARMACY","MANHATTAN","EAST   86 STREET",10028,"CafÃ©/Coffee/Tea","12/08/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","12/08/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9726673,40.7528781
"THE GRISLY PEAR","MANHATTAN","MACDOUGAL STREET",10012,"American","04/01/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","04/01/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.006844,40.731363
"Q MARQET","MANHATTAN","E 98TH ST",10029,"American","12/15/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",20,"B","12/15/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9856081,40.740469
"RED EYE GRILL","MANHATTAN","7 AVENUE",10019,"American","11/12/2015","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",11,"A","11/12/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.0102053,40.7184355
"KANOYAMA","MANHATTAN","2 AVENUE",10003,"Japanese","05/27/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",14,"B","05/27/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9784521,40.7585922
"HARU","MANHATTAN","3 AVENUE",10075,"Japanese","03/01/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","03/01/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9538178,40.8202577
"EISENBERG'S SANDWICH SHOP","MANHATTAN","5 AVENUE",10010,"Sandwiches","01/26/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A","01/26/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9544547,40.7794992
"CANTON LOUNGE","MANHATTAN","MOTT ST",10013,"Chinese","10/12/2016","Violations were cited in the following area(s).","05H","No facilities available to wash, rinse and sanitize utensils and/or equipment.","Critical",24,"B","10/12/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9915698,40.7137889
"DESI GALLI","MANHATTAN","LEXINGTON AVE",10016,"Indian","04/14/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",7,"A","04/14/2015","04/23/2017","Cycle Inspection / Initial Inspection",-86.0529604,35.4576849
"129 GOURMET DELI","MANHATTAN","E 45TH ST",10017,"Egyptian","12/23/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",23,"B","12/23/2016","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"IFC CENTER","MANHATTAN","6TH AVE",10014,"American","06/16/2014","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",10,"A","06/16/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9676903,40.7622807
"THE RINDSIDE CAFE","MANHATTAN","W 20TH ST",10011,"CafÃ©/Coffee/Tea","03/04/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",8,"A","03/04/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.95242,40.808059
"JUST SALAD","MANHATTAN","PARK AVE S",10010,"Salads","04/06/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","04/06/2015","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.957161,40.765888
"SPICE GRILL","MANHATTAN","W 48TH ST",10036,"Indian","08/07/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","08/07/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9891007,40.728267
"HYATT, NY CENTRAL, ROOM SERVICE","MANHATTAN","& GRAND CENTRAL",10017,"American","03/14/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","03/14/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.965273,40.800712
"AMSTERDAM GOURMET","MANHATTAN","AMSTERDAM AVENUE",10024,"Delicatessen","02/02/2017","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",9,"A","02/02/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9875753,40.7581856
"WESTIN HOTEL","MANHATTAN","EAST   42 STREET",10017,"Continental","07/22/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A","07/22/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.963127,40.757652
"SUMMER GARDEN","MANHATTAN","WEST   50 STREET",10020,"American","06/19/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","06/19/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9907157,40.7504106
"SOPHIE'S RESTAURANT(Entrance on 73 New Street)","MANHATTAN","BROADWAY",10004,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","04/27/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",15,"B","04/27/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9534479,40.777126
"NAGOMI","MANHATTAN","PRINCE STREET",10012,"Japanese","10/31/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","10/31/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.98365,40.72943
"EAST SIDE BILLIARD","MANHATTAN","EAST   86 STREET",10028,"American","11/13/2014","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",10,"A","11/13/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0040231,40.7376545
